a-lona-le-utse-le-ithuta-dithuto-tseo-tsa-lona;Drum;Ensemble leader;Metal, struck;Vocals, group
abafazi-bemka;Clapping, hand;Stamping, foot;Vocals, group
abalala-bafuma-ili-batemuna;Bottle, struck;Drum, goblet;Mbira, kankowele;Mirliton;Vocals, group
abana-ba-baganda-batabale;Clapping, hand;Drum, conical;Harp;Madinda;Percussion, various;Vocals
abatuga-abagalana;Clapping, hand;Drum, conical;Endongo;Ensemble leader;Ndingidi;Ntenga;Vocals;Vocals, group
abayuga-obugali;Drum, conical;Endongo;Ndingidi;Ntongoli;Vocals
abuye-zandiombale;Chitsukulumwe;Clapping, hand;Drum, barrel;Mvema;Nthikwi;Vocals;Vocals, group
adaweta-ngombe-kapolo-uja;Ensemble leader;Kubu;Mbira, sansi;Vocals;Vocals, group
ai-ye!-nzara-yakabora;Dendera ;Ensemble leader;Jenje;Katero;Madobi;Mbira, madebe dza mondoro;Miningo karipi-karipi;Murumbi;Mutumba, conical;Rattle;Shauriro;Usindi;Vocals;Vocals, group
akapunda;Bass drum;Chandi;Drum, cylindrical;Ensemble leader;Malipenga;Muganda;Vocals
akasolo-mudhe;Ndingidi;Ntongoli;Vocals
akwa-musadi-moyo-wenu-he-he-he;Drum, conical;Drum, goblet;Iyashina;Mukundu ;Sticks, struck;Vocals, group;Yasongo
alhamdulilla;Clapping, hand;Ensemble leader;Hayir;Marwas;Tasa;Vocals, group
ali-majengo;Bell;Clapping, hand;Drum, conical;Ensemble leader;Nanga;Rattle;Vocals;Vocals, group
amai-anda-nena-mangwila-ngwila-lekani;Bangwe;Bottle, struck;Concertina;Drum, double-headed;Guitar;Metal, struck;Vocals;Vocals, group
amaseyibokwe-athengwa-ngemali-eninzi;Clapping, hand;Ensemble leader;Hadi;Harmonica;Ikinki;Vocals;Vocals, group
aminoiye;Bell;Bell, bicycle;Bottle, struck;Mbira, chisanzhi (Kanyok, board);Mbira, likembe muchapata;Metal, struck;Mirliton;Sticks, struck;Vocals;Vocals, group
ananga-kwa-amai-ndikanenaiyi;Chitsukulumwe;Clapping, hand;Drum, barrel;Mvema;Nthikwi;Vocals;Vocals, group
anatami;Clapping, hand;Drum;Ensemble leader;Gayanda ;Mutetere;Nyele;Nyele horn ensemble;Sticks, struck;Vocals;Vocals, group
angelo;Bangwe;Clapping, hand;Ensemble leader;Karigo;Metal, struck;Vocals;Vocals, group
anya-vindelu-tayani-uyanga;Bangwe;Bell;Clapping, hand;Ensemble leader;Mbira, kalimba;Rattle, ankle;Vocals;Vocals, group
anyangwila-yanga-pano-kwawo;Bangwe;Ensemble leader;Rattle, raft;Vocals;Vocals, group
apegale;Drum, conical;Mbira, likembe;Mbira, likembe isanzo
asazi-kambe;Chorus;Clapping, hand;Harmonica;Stamping, foot;Vocals;Vocals, group
asiyoyetha-lengoma-yeye-badala;Clapping, hand;Vocals;Vocals, group
atshakongwe-wamwe-muno-kuwala-kwawo;Bangwe;Bottle, struck;Concertina;Drum, double-headed;Guitar;Metal, struck;Vocals;Vocals, group
atufundi-uyanganje;Bottle, struck;Clapping, hand;Drum box;Drum, goblet;Dujimba devasa;Dujimba dwa mukuma;Dujimba dwapakadie;Ensemble leader;Litswakaie;Mirliton;Mutumba, slit drum;Nguma;Rattle;Vocals;Vocals, group
