% Created by Marsyas
@relation MARSYAS_EMPTYILAM_zcrf.arff
@attribute Mean_Acc5_Mean_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Acc5_Mean_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Acc5_Mean_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Acc5_Mean_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Acc5_Std_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Acc5_Std_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Acc5_Std_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Mean_Acc5_Std_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Acc5_Mean_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Acc5_Mean_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Acc5_Mean_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Acc5_Mean_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Acc5_Std_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Acc5_Std_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Acc5_Std_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Acc5_Std_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute output {ILAM}


@data
% filename /Users/Maxime/Documents/University/2015/Cmput466/Project/ILAM_samples_wav/a-lona-le-utse-le-ithuta-dithuto-tseo-tsa-lona.wav
% srate 86.1328
0.080853,0.073118,0.126186,0.102234,0.025368,0.021754,0.046867,0.053692,0.026514,0.025345,0.045237,0.035925,0.029787,0.029786,0.058922,0.024453,ILAM
% filename /Users/Maxime/Documents/University/2015/Cmput466/Project/ILAM_samples_wav/abafazi-bemka.wav
% srate 86.132812
0.046868,0.042017,0.060383,0.099496,0.016826,0.013813,0.026239,0.055007,0.025789,0.021953,0.038447,0.022861,0.028793,0.026532,0.043178,0.018565,ILAM
% filename /Users/Maxime/Documents/University/2015/Cmput466/Project/ILAM_samples_wav/abalala-bafuma-ili-batemuna.wav
% srate 86.132812
0.042731,0.037839,0.064570,0.107210,0.012962,0.011331,0.024891,0.066189,0.009975,0.010658,0.029511,0.031986,0.005557,0.006812,0.020396,0.022413,ILAM
% filename /Users/Maxime/Documents/University/2015/Cmput466/Project/ILAM_samples_wav/abana-ba-baganda-batabale.wav
% srate 86.132812
0.075594,0.058363,0.142810,0.101709,0.023893,0.022480,0.098470,0.053852,0.021417,0.021773,0.065202,0.018159,0.008254,0.008360,0.110112,0.016904,ILAM
% filename /Users/Maxime/Documents/University/2015/Cmput466/Project/ILAM_samples_wav/abatuga-abagalana.wav
% srate 86.132812
0.065230,0.056114,0.119049,0.083711,0.031412,0.026037,0.099304,0.024445,0.026229,0.036177,0.079111,0.023921,0.017707,0.021053,0.064025,0.014811,ILAM
% filename /Users/Maxime/Documents/University/2015/Cmput466/Project/ILAM_samples_wav/abayuga-obugali.wav
% srate 86.132812
0.063094,0.058562,0.145535,0.078757,0.031571,0.030691,0.092568,0.024168,0.022726,0.022210,0.097391,0.021272,0.013686,0.018053,0.040399,0.013749,ILAM
% filename /Users/Maxime/Documents/University/2015/Cmput466/Project/ILAM_samples_wav/abuye-zandiombale.wav
% srate 86.132812
