abafazi-bemka;Clapping, hand;Stamping, foot;Vocals, group
alhamdulilla;Clapping, hand;Ensemble leader;Hayir;Marwas;Tasa;Vocals, group
amaseyibokwe-athengwa-ngemali-eninzi;Clapping, hand;Ensemble leader;Hadi;Harmonica;Ikinki;Vocals;Vocals, group
angelo;Bangwe;Clapping, hand;Ensemble leader;Karigo;Metal, struck;Vocals;Vocals, group
anya-vindelu-tayani-uyanga;Bangwe;Bell;Clapping, hand;Ensemble leader;Mbira, kalimba;Rattle, ankle;Vocals;Vocals, group
asazi-kambe;Chorus;Clapping, hand;Harmonica;Stamping, foot;Vocals;Vocals, group
asiyoyetha-lengoma-yeye-badala;Clapping, hand;Vocals;Vocals, group
atuwendi-kumanzi-ntwende-kumulonga-tukateke-menda;Chamutanda;Clapping, hand;Ensemble leader;Gogogo;Kalumbo;Mbira dza waNdau;Mbira, kankowele;Mirliton;Muntundu;Mutetule usibgwa ;Nyele;Pati;Pininga;Sticks, struck;Vocals;Vocals, group
aunakuva-unafoko-upendukile;Clapping, hand;Stamping, foot;Vocals, group
ayalero-makulata;Bangwe;Bell;Clapping, hand;Ensemble leader;Mbira, kalimba;Rattle, ankle;Vocals;Vocals, group
bachituta-panchi;Bottle, struck;Clapping, hand;Guitar;Rattle;Vocals;Vocals, group
balozi-na-upange;Clapping, hand;Ensemble leader;Kayamba;Vocals;Vocals, group
bam!-mfana-kabanina-undenzenzima;Clapping, hand;Ensemble leader;Hadi;Harmonica;Ikinki;Vocals;Vocals, group
baroka-rifeng-rifeng;Clapping, hand;Ensemble leader;Vocals, group
bemu-iuvoni-memba;Clapping, hand;Ensemble leader;Rattle, raft;Vocals, group
bengiyo-shela;Bass drum;Clapper;Clapping, hand;Rattle, ankle;Vocals, group
bilimankhwe!;Bangwe;Clapping, hand;Ensemble leader;Karigo;Metal, struck;Vocals;Vocals, group
bungalile-utshuala;Bass drum;Clapper;Clapping, hand;Rattle, ankle;Vocals, group
buyani-sangweni;Bangwe;Bell;Clapping, hand;Ensemble leader;Mbira, kalimba;Rattle, ankle;Vocals;Vocals, group
bwana-shanua-kidzhere-nguma-inende;Clapping, hand;Ensemble leader;Kayamba;Vocals;Vocals, group
chausiku-mwenerunihola;Clapping, hand;Ensemble leader;Mbira, likembe ikembe;Vocals;Vocals, group
cheyu-chamunganda;Clapping, hand;Ensemble leader;Rattle, raft;Vocals, group
chilungulungu-madje;Bangwe;Bell;Clapping, hand;Ensemble leader;Mbira, kalimba;Rattle, ankle;Vocals;Vocals, group
chipuri;Bottle, struck;Chipuri;Clapping, hand;Ensemble leader;Metal, struck;Rattle;Rattle, basket;Vocals;Vocals, group
chitima-wajumbo;Clapping, hand;Ensemble leader;Rattle, raft;Vocals, group
chundalala-chawona-mwezi;Bangwe;Clapping, hand;Ensemble leader;Malaza;Rattle, ankle;Stamping, foot;Vocals;Vocals, group;Whistle
cingoma-ca-kubaruka;Clapping, hand;Ensemble leader;Rattle, raft;Vocals, group
de-aar;Clapping, hand;Lesiba;Sekebeku;Vocals;Vocals, group
e-ye-ye-alawombi-tombi;Bottle, struck;Chipuri;Clapping, hand;Ensemble leader;Metal, struck;Rattle;Rattle, basket;Vocals;Vocals, group
e-ye-ye-kusumbukila-kulunda;Bottle, struck;Chipuri;Clapping, hand;Ensemble leader;Metal, struck;Rattle;Rattle, basket;Vocals;Vocals, group
edel-nkosi;Bangwe;Bell;Clapping, hand;Ensemble leader;Mbira, kalimba;Rattle, ankle;Vocals;Vocals, group
emonti-mama-siyazalana;Clapping, hand;Vocals;Vocals, group
ena-khotos;Clapping, hand;Ensemble leader;Stamping, foot;Vocals;Vocals, group
etso-ga-ke-batle-e-ejwa;Clapping, hand;Ensemble leader;Vocals, group
eya-mulanda-kankola-kami;Bottle, struck;Chipuri;Clapping, hand;Ensemble leader;Metal, struck;Rattle;Rattle, basket;Vocals;Vocals, group
ga-nna-ke-tshome;Clapping, hand;Ensemble leader;Vocals, group
hela-libenche;Clapping, hand;Ensemble leader;Stamping, foot;Vocals;Vocals, group
hlophe;Clapping, hand;Lesiba;Sekebeku;Vocals;Vocals, group
hololo-we-bahurutshe-matebeyane;Clapping, hand;Ensemble leader;Segankure;Vocals;Vocals, group
huwa-lero;Bangwe;Clapping, hand;Ensemble leader;Karigo;Metal, struck;Vocals;Vocals, group
ihobe-liyataka;Clapping, hand;Stamping, foot;Vocals, group
imfakadolo;Chorus;Clapping, hand;Harmonica;Stamping, foot;Vocals;Vocals, group
ingeji-yam;Chorus;Clapping, hand;Harmonica;Stamping, foot;Vocals;Vocals, group
inkosi-ya-mpondo;Clapping, hand;Vocals;Vocals, group
inkuntse;Clapping, hand;Ensemble leader;Hadi;Harmonica;Ikinki;Vocals;Vocals, group
intsimbi-ka-ntsikana;Chorus;Clapping, hand;Harmonica;Stamping, foot;Vocals;Vocals, group
itileni;Clapping, hand;Vocals;Vocals, group
kalilole;Clapping, hand;Ensemble leader;Khunto;Vocals;Vocals, group
kapeza-atauma-gaga;Bangwe;Clapping, hand;Ensemble leader;Karigo;Metal, struck;Vocals;Vocals, group
karubgwerubgwe-kone-agwari;Chamutanda;Clapping, hand;Ensemble leader;Gogogo;Kalumbo;Mbira dza waNdau;Mbira, kankowele;Mirliton;Muntundu;Mutetule usibgwa ;Nyele;Pati;Pininga;Sticks, struck;Vocals;Vocals, group
kauvele-ubona;Clapping, hand;Stamping, foot;Vocals, group
kayuni;Clapping, hand;Ensemble leader;Rattle, raft;Vocals, group
kazembe-mayo;Bottle, struck;Clapping, hand;Guitar;Rattle;Vocals;Vocals, group
khajoane-ntseke;Clapping, hand;Lesiba;Sekebeku;Vocals;Vocals, group
khutsanyana;Clapping, hand;Ensemble leader;Stamping, foot;Vocals;Vocals, group
kilamu;Bow, musical;Clapping, hand;Ensemble leader;Iamba malebe;Kyaa;Mbebe;Vocals;Vocals, group
kongwana-tshweu-wee;Clapping, hand;Ensemble leader;Vocals, group
konyane-ga-ga-bo-ke-kae;Clapping, hand;Ensemble leader;Vocals, group
kucalangibone-eswatini;Bass drum;Clapper;Clapping, hand;Rattle, ankle;Vocals, group
kudanda-ula;Bangwe;Clapping, hand;Ensemble leader;Malaza;Rattle, ankle;Stamping, foot;Vocals;Vocals, group;Whistle
kupura-kupika-na-kuldya-nakundewa;Clapping, hand;Ensemble leader;Rattle, raft;Vocals, group
kwa-kazembe-okutomboka-kana-twana;Bottle, struck;Clapping, hand;Guitar;Rattle;Vocals;Vocals, group
kyaa;Bow, musical;Clapping, hand;Ensemble leader;Iamba malebe;Kyaa;Mbebe;Vocals;Vocals, group
kyabula-wa-in-kande-mpuya;Bottle, struck;Chipuri;Clapping, hand;Ensemble leader;Metal, struck;Rattle;Rattle, basket;Vocals;Vocals, group
lahiwe-indoda;Clapping, hand;Stamping, foot;Vocals, group
lako;Clapping, hand;Ensemble leader;Stamping, foot;Vocals;Vocals, group
liya-kamuchoma-wa-kanga;Bangwe;Clapping, hand;Ensemble leader;Malaza;Rattle, ankle;Stamping, foot;Vocals;Vocals, group;Whistle
luano-lwankanga-ampie;Clapping, hand;Ensemble leader;Gogogo;Mpati ;Musunta;Vocals;Vocals, group
ma-chiwerewere;Clapping, hand;Ensemble leader;Gogogo;Mpati ;Musunta;Vocals;Vocals, group
maeba-masimong;Clapping, hand;Ensemble leader;Stamping, foot;Vocals;Vocals, group
magogwe-mo-leseng-part-i;Clapping, hand;Ensemble leader;Segankure;Vocals;Vocals, group
maipetleko;Clapping, hand;Ensemble leader;Rattle, ankle;Vocals, group
malala-wabila;Clapping, hand;Ensemble leader;Gogogo;Mpati ;Musunta;Vocals;Vocals, group
malayisha-i;Clapping, hand;Ensemble leader;Hadi;Harmonica;Ikinki;Vocals;Vocals, group
malayisha-ii;Clapping, hand;Ensemble leader;Hadi;Harmonica;Ikinki;Vocals;Vocals, group
malepa;Clapping, hand;Ensemble leader;Segankure;Vocals;Vocals, group
malona-diyi-wadikenge-leli-kufwa;Bottle, struck;Chipuri;Clapping, hand;Ensemble leader;Metal, struck;Rattle;Rattle, basket;Vocals;Vocals, group
mama-ndaswelindawo-ngendaba;Clapping, hand;Ensemble leader;Hadi;Harmonica;Ikinki;Vocals;Vocals, group
mamarutla;Clapping, hand;Ensemble leader;Rattle, ankle;Vocals, group
mamoko-mamoko-matlabama-iye;Clapping, hand;Ensemble leader;Vocals, group
mampharoane;Clapping, hand;Lesiba;Sekebeku;Vocals;Vocals, group
marhaban-sheikhlwa-dhifa;Clapping, hand;Ensemble leader;Hayir;Marwas;Tasa;Vocals, group
marita-ku-mampampa;Bottle, struck;Clapping, hand;Guitar;Rattle;Vocals;Vocals, group
masihambe-bawo-silele-emzini;Clapping, hand;Stamping, foot;Vocals, group
matshoba;Clapping, hand;Vocals;Vocals, group
meri-meri;Bangwe;Clapping, hand;Ensemble leader;Karigo;Metal, struck;Vocals;Vocals, group
mguluwe;Clapping, hand;Ensemble leader;Khunto;Vocals;Vocals, group
mlekule-bona-nibajenda-bona;Clapping, hand;Ensemble leader;Mbira, likembe marimbe;Ngoma;Vocals;Vocals, group
mmamathlwane;Clapping, hand;Ensemble leader;Vocals, group
molweni-nonke;Chorus;Clapping, hand;Harmonica;Stamping, foot;Vocals;Vocals, group
motee;Clapping, hand;Ensemble leader;Rattle, ankle;Vocals, group
mulumuzana-kumana;Bangwe;Bell;Clapping, hand;Ensemble leader;Mbira, kalimba;Rattle, ankle;Vocals;Vocals, group
musenga;Bow, musical;Clapping, hand;Ensemble leader;Iamba malebe;Kyaa;Mbebe;Vocals;Vocals, group
muzimu-wandiyanda-moyo;Chamutanda;Clapping, hand;Ensemble leader;Gogogo;Kalumbo;Mbira dza waNdau;Mbira, kankowele;Mirliton;Muntundu;Mutetule usibgwa ;Nyele;Pati;Pininga;Sticks, struck;Vocals;Vocals, group
muzolange-nobakotata;Chamutanda;Clapping, hand;Ensemble leader;Gogogo;Kalumbo;Mbira dza waNdau;Mbira, kankowele;Mirliton;Muntundu;Mutetule usibgwa ;Nyele;Pati;Pininga;Sticks, struck;Vocals;Vocals, group
mwali-wa-mbengi;Bow, musical;Clapping, hand;Ensemble leader;Iamba malebe;Kyaa;Mbebe;Vocals;Vocals, group
mwana-angu-ngale;Clapping, hand;Ensemble leader;Khunto;Vocals;Vocals, group
nabutema-fulida-mvlito;Chamutanda;Clapping, hand;Ensemble leader;Gogogo;Kalumbo;Mbira dza waNdau;Mbira, kankowele;Mirliton;Muntundu;Mutetule usibgwa ;Nyele;Pati;Pininga;Sticks, struck;Vocals;Vocals, group
nakhona-singianga-giba-i-and-ii;Bass drum;Clapper;Clapping, hand;Rattle, ankle;Vocals, group
nalinamayo-nshale-chula;Bottle, struck;Clapping, hand;Guitar;Rattle;Vocals;Vocals, group
namayaya;Clapping, hand;Ensemble leader;Mbira, likembe ikembe;Vocals;Vocals, group
nasi-indoda-ingishaya;Bass drum;Clapper;Clapping, hand;Rattle, ankle;Vocals, group
ndiribe-mmbale;Bangwe;Bell;Clapping, hand;Ensemble leader;Mbira, kalimba;Rattle, ankle;Vocals;Vocals, group
nganibonge-amakentani;Clapping, hand;Ensemble leader;Hadi;Harmonica;Ikinki;Vocals;Vocals, group
ngibanjwe-sigebengu-sentombanzana-swazini;Bass drum;Clapper;Clapping, hand;Rattle, ankle;Vocals, group
ngigashupeke-ngi-mabunu;Bangwe;Clapping, hand;Ensemble leader;Malaza;Rattle, ankle;Stamping, foot;Vocals;Vocals, group;Whistle
ngoma;Chamutanda;Clapping, hand;Ensemble leader;Gogogo;Kalumbo;Mbira dza waNdau;Mbira, kankowele;Mirliton;Muntundu;Mutetule usibgwa ;Nyele;Pati;Pininga;Sticks, struck;Vocals;Vocals, group
ngoma-yalila-mphela;Bangwe;Clapping, hand;Ensemble leader;Malaza;Rattle, ankle;Stamping, foot;Vocals;Vocals, group;Whistle
ngoma-yalilamuno-yayenda-maraya-pemba;Clapping, hand;Ensemble leader;Mbira, likembe marimbe;Ngoma;Vocals;Vocals, group
ngwasi;Clapping, hand;Ensemble leader;Khunto;Vocals;Vocals, group
nipande-mpola-baskeli;Clapping, hand;Ensemble leader;Mbira, likembe marimbe;Ngoma;Vocals;Vocals, group
nkamuona-nkadamphweteka;Bangwe;Clapping, hand;Ensemble leader;Karigo;Metal, struck;Vocals;Vocals, group
nkonkonko;Clapping, hand;Ensemble leader;Hadi;Harmonica;Ikinki;Vocals;Vocals, group
nkosi-wotolera;Bangwe;Bell;Clapping, hand;Ensemble leader;Mbira, kalimba;Rattle, ankle;Vocals;Vocals, group
no-talili;Chorus;Clapping, hand;Harmonica;Stamping, foot;Vocals;Vocals, group
nonyanya;Clapping, hand;Vocals;Vocals, group
ntakhala-ndi-mlongo;Bangwe;Clapping, hand;Ensemble leader;Karigo;Metal, struck;Vocals;Vocals, group
nthakwedi-nthakwetsane;Clapping, hand;Ensemble leader;Vocals, group
nyakumtyela-egageni;Clapping, hand;Ensemble leader;Hadi;Harmonica;Ikinki;Vocals;Vocals, group
nyalubungo-nibarutenga;Clapping, hand;Ensemble leader;Mbira, likembe marimbe;Ngoma;Vocals;Vocals, group
nyamwaritsa-kurira-ndopasa-dza-bwio;Bangwe;Clapping, hand;Ensemble leader;Malaza;Rattle, ankle;Stamping, foot;Vocals;Vocals, group;Whistle
nyasalandi-kutari;Bangwe;Clapping, hand;Ensemble leader;Malaza;Rattle, ankle;Stamping, foot;Vocals;Vocals, group;Whistle
o-ama-jalimani;Clapping, hand;Stamping, foot;Vocals, group
o-dressi-chivara-madona;Bangwe;Clapping, hand;Ensemble leader;Karigo;Metal, struck;Vocals;Vocals, group
olihomba;Clapping, hand;Stamping, foot;Vocals, group
paseka-oa-tseka;Clapping, hand;Ensemble leader;Stamping, foot;Vocals;Vocals, group
ramanaka;Clapping, hand;Ensemble leader;Stamping, foot;Vocals;Vocals, group
safari-ya-msanga-tifu;Clapping, hand;Ensemble leader;Kayamba;Vocals;Vocals, group
sananapo;Clapping, hand;Ensemble leader;Segankure;Vocals;Vocals, group
sebata;Clapping, hand;Ensemble leader;Vocals, group
sekelele-tawona-tengwa-ipya;Clapping, hand;Ensemble leader;Rattle, raft;Vocals, group
sikiri;Clapping, hand;Ensemble leader;Khunto;Vocals;Vocals, group
stepps-a-dikgomo-di-teng;Clapping, hand;Ensemble leader;Vocals, group
sukumuphendule-part-i;Bass drum;Clapper;Clapping, hand;Rattle, ankle;Vocals, group
sukumuphendule-part-ii;Bass drum;Clapper;Clapping, hand;Rattle, ankle;Vocals, group
tau-lia-rora;Clapping, hand;Ensemble leader;Stamping, foot;Vocals;Vocals, group
tebele-ya-sila-ya-gaila;Clapping, hand;Ensemble leader;Vocals, group
tengulisha;Bangwe;Clapping, hand;Ensemble leader;Karigo;Metal, struck;Vocals;Vocals, group
teohela-silatsatsi;Clapping, hand;Lesiba;Sekebeku;Vocals;Vocals, group
terene-ea-malahla;Clapping, hand;Ensemble leader;Stamping, foot;Vocals;Vocals, group
tshabalala;Clapping, hand;Ensemble leader;Vocals, group
tshwene-phatana-yayone;Clapping, hand;Ensemble leader;Vocals, group
tsoanya;Clapping, hand;Lesiba;Sekebeku;Vocals;Vocals, group
tula-manina-kongolos;Clapping, hand;Ensemble leader;Gogogo;Mpati ;Musunta;Vocals;Vocals, group
tula-tula-1-of-2;Clapping, hand;Vocals;Vocals, group
tula-tula-2-of-2;Clapping, hand;Vocals;Vocals, group
tulila-menda;Chamutanda;Clapping, hand;Ensemble leader;Gogogo;Kalumbo;Mbira dza waNdau;Mbira, kankowele;Mirliton;Muntundu;Mutetule usibgwa ;Nyele;Pati;Pininga;Sticks, struck;Vocals;Vocals, group
ukhosi-wako-biba-ugodhliliwa-ngubani;Bangwe;Clapping, hand;Ensemble leader;Malaza;Rattle, ankle;Stamping, foot;Vocals;Vocals, group;Whistle
umama-litshipa;Clapping, hand;Ensemble leader;Hadi;Harmonica;Ikinki;Vocals;Vocals, group
undebulisele-ku-lungwengwe;Clapping, hand;Stamping, foot;Vocals, group
upendeka-kukama;Clapping, hand;Ensemble leader;Gogogo;Mpati ;Musunta;Vocals;Vocals, group
